Date,Name,Roll No,Room No,Contact,Equipment Issued,Quantity,In_Time,Out_Time,Signature,Remarks,Unique_Key,Key_Combination,LookUp_Count,Update_Count
1988-11-02,Kathryn Morris,2020509,A-3,6005194894,throughout,1,21:46,05:09,Kathryn Morris,Success seem size today degree modern ok.,2020509_21:46_1988-11-02,Roll_No:In_Time:Date,0,0
2012-02-20,Alyssa Pratt,2019318,A-590,6395904475,require,4,15:55,08:13,Alyssa Pratt,Record those need say social.,2019318_15:55_2012-02-20,Roll_No:In_Time:Date,0,0
1997-05-10,Joseph Davidson,2020837,A-133,594808607,president,6,11:54,14:43,Joseph Davidson,Choose sea kid north remember truth both.,2020837_11:54_1997-05-10,Roll_No:In_Time:Date,0,0
1995-11-05,Mary Kelly,2022291,A-818,683505964,continue,0,02:14,14:48,Mary Kelly,Institution child parent serve.,2022291_02:14_1995-11-05,Roll_No:In_Time:Date,0,0
2003-11-05,Elizabeth Johnson,2020259,A-443,17353120,lose,2,16:08,19:05,Elizabeth Johnson,Our down adult specific.,2020259_16:08_2003-11-05,Roll_No:In_Time:Date,0,0
2022-06-17,Robert Watts,2024088,A-353,1324225457,develop,3,14:45,00:46,Robert Watts,Perhaps though stop play college.,2024088_14:45_2022-06-17,Roll_No:In_Time:Date,0,0
2002-10-29,Adam Bowen,2020856,A-381,6457548849,still,1,02:12,15:01,Adam Bowen,Run market region husband music ask single.,2020856_02:12_2002-10-29,Roll_No:In_Time:Date,0,0
2020-04-21,Alyssa Pratt,2019318,A-158,6395904475,across,6,21:57,20:44,Alyssa Pratt,Security sister deep authority why watch book.,2019318_21:57_2020-04-21,Roll_No:In_Time:Date,0,0
2010-11-04,Christopher Jimenez,2021030,A-176,3094782573,president,3,05:30,12:36,Christopher Jimenez,Maybe still television film pretty value decision north.,2021030_05:30_2010-11-04,Roll_No:In_Time:Date,0,0
1992-10-07,David Calhoun,2022781,A-538,6860386466,boy,9,00:29,22:36,David Calhoun,Either local interesting trouble leader memory south.,2022781_00:29_1992-10-07,Roll_No:In_Time:Date,0,0
2000-03-26,Carla Alvarez,2018446,A-533,332114776,better,0,14:13,23:51,Carla Alvarez,Popular name ball media color suddenly.,2018446_14:13_2000-03-26,Roll_No:In_Time:Date,0,0
1979-08-07,Joseph Davidson,2020837,A-812,594808607,total,1,03:59,18:46,Joseph Davidson,Information marriage each politics meeting partner follow.,2020837_03:59_1979-08-07,Roll_No:In_Time:Date,0,0
2006-10-13,Crystal Burton MD,2020012,A-565,6920058658,something,3,05:10,03:24,Crystal Burton MD,Tell movie which tell.,2020012_05:10_2006-10-13,Roll_No:In_Time:Date,0,0
2005-04-23,Kimberly Murphy,2018956,A-448,4842937929,information,9,15:37,12:46,Kimberly Murphy,Low during require detail whom.,2018956_15:37_2005-04-23,Roll_No:In_Time:Date,0,0
2005-12-08,Kirsten Daniel,2023076,A-194,4870920571,share,3,01:40,04:25,Kirsten Daniel,End someone debate position.,2023076_01:40_2005-12-08,Roll_No:In_Time:Date,0,0
2008-08-23,Virginia Porter,2019326,A-100,3897320288,fall,4,19:07,07:51,Virginia Porter,Church sort situation reach letter.,2019326_19:07_2008-08-23,Roll_No:In_Time:Date,0,0
2014-12-18,Elizabeth Johnson,2020259,A-830,17353120,already,2,16:42,22:46,Elizabeth Johnson,Figure people pull hour.,2020259_16:42_2014-12-18,Roll_No:In_Time:Date,0,0
2008-01-10,Nicholas Jarvis,2019241,A-60,6970557554,moment,7,08:16,22:55,Nicholas Jarvis,Give book summer win everything.,2019241_08:16_2008-01-10,Roll_No:In_Time:Date,0,0
2007-03-02,Elizabeth Johnson,2020259,A-572,17353120,get,0,20:25,00:23,Elizabeth Johnson,Organization seem she him head.,2020259_20:25_2007-03-02,Roll_No:In_Time:Date,0,0
1977-12-06,Michael Moore,2021064,A-158,8213206155,before,0,02:33,15:16,Michael Moore,Congress main place act.,2021064_02:33_1977-12-06,Roll_No:In_Time:Date,0,0
