Sr No,Name,Phone Number,Roll No,Cash,PayTM,Total,Date of Purchase,Breakfast,Lunch,Snack,Dinner
1,Kenneth Hoffman,4102863992,2020232,0,2500,2500,1990-07-19,29,27,68,66
2,Evan Harper,1137059988,2019548,2000,0,2000,1992-02-12,27,82,41,10
3,Daniel Lloyd MD,165719192,2022114,0,2500,2500,2008-04-30,95,41,39,18
4,Tiffany Kelly,1971811894,2020363,0,2500,2500,1974-05-16,99,92,35,8
5,Amy Johnson,8571418998,2021995,2000,0,2000,1974-10-19,47,15,93,25
6,Caleb Williams,679891206,2023875,0,2500,2500,1985-04-16,24,2,73,74
7,David Weaver,3245832908,2021056,2000,0,2000,2002-06-30,54,41,45,30
8,Evan Harper,1137059988,2019548,2000,0,2000,1989-10-28,49,61,56,34
9,Brittany Olson,8639635393,2024047,0,2500,2500,2018-03-29,42,56,2,18
10,Melanie Mclaughlin,1156960212,2019815,2500,0,2500,2020-03-22,72,44,42,22
11,Darlene Newman,7912843450,2019699,1500,0,1500,2006-01-17,67,17,37,65
12,Sharon Powell,1413631736,2020462,0,2500,2500,1992-02-16,84,0,7,0
13,Timothy Marshall,5620615022,2023072,0,1500,1500,2011-10-08,87,23,79,18
14,Michael Brooks,2814751071,2018590,0,1500,1500,2001-04-19,63,11,54,7
15,Calvin Trevino,535465573,2024623,0,2500,2500,1995-04-15,54,23,68,18
16,Travis Smith,8135537382,2020539,1500,0,1500,1981-07-05,79,35,31,2
17,Sharon Powell,1413631736,2020462,2500,0,2500,1980-10-25,27,98,45,94
18,Mr. Michael Bauer,5209607760,2022580,2000,0,2000,2003-02-19,55,74,47,44
19,Daniel Lloyd MD,165719192,2022114,1500,0,1500,2008-12-02,48,49,24,13
20,Patricia Kaiser,9057078707,2021192,0,2000,2000,2017-11-07,60,32,51,27
21,Evan Harper,1137059988,2019548,2000,0,2000,1976-04-05,80,59,47,26
22,James Marshall,6796255083,2022496,0,2500,2500,2002-05-18,18,86,91,65
23,Krista Day,8528868791,2024154,2000,0,2000,1977-07-25,30,65,34,91
24,Beth Adams,7627282999,2018422,0,1500,1500,2023-10-24,21,51,82,21
25,Angela Hernandez,6093134839,2024400,2500,0,2500,1996-04-19,66,63,67,70
26,Laura Flores,9457851933,2018638,2000,0,2000,1970-08-28,27,55,41,19
27,Ariana Curry,631620560,2022801,1500,0,1500,2018-09-22,67,17,81,68
28,Joseph Hoffman,7633913488,2021846,0,2500,2500,2018-09-06,46,36,93,31
29,Jerry Blair,8856318013,2019269,0,2500,2500,2009-09-08,27,61,62,81
30,Heidi Rogers,1312882255,2019419,0,2500,2500,2003-03-16,33,2,47,66
31,Melissa Chandler,5800461475,2022338,2000,0,2000,2004-08-20,26,62,62,55
32,Michael Barnes,7314919335,2018769,0,2000,2000,1993-11-22,29,91,55,67
33,Rachel Jones,1624760528,2024865,2500,0,2500,2018-05-20,62,54,82,97
34,Sharon Powell,1413631736,2020462,2000,0,2000,1988-12-21,40,4,34,87
35,Jason Henry,397432031,2023812,2500,0,2500,1987-07-20,86,24,80,46
36,Caleb Williams,679891206,2023875,0,1500,1500,1978-12-21,18,37,82,62
37,Sharon Powell,1413631736,2020462,0,2000,2000,1973-06-17,0,47,57,34
38,Victor Villarreal,5093415970,2024329,2500,0,2500,2009-12-05,22,53,43,28
39,Lisa Roberts,6924999898,2022372,2500,0,2500,1977-04-30,42,95,55,37
40,David Weaver,3245832908,2021056,0,2000,2000,1979-07-20,52,3,9,75
41,James Ingram,3208888350,2020085,2500,0,2500,1973-08-16,63,99,28,12
42,Alexa Conrad,2811527736,2024723,0,2000,2000,2004-02-28,11,37,7,99
43,Jerome Anderson,608978205,2018603,2000,0,2000,1990-09-14,15,68,35,17
44,Jason Henry,397432031,2023812,0,1500,1500,1971-10-26,36,48,24,53
45,Patricia Kaiser,9057078707,2021192,2500,0,2500,2016-12-13,40,69,49,76
