Sale ID,Sale Date,Coupon Type,Name,Phone Number,Roll NO,Paytm,Cash,Total Amount,Unique_Key,Key_Combination,LookUp_Count,Update_Count
1,2015-07-02 16:15:14,20 Days,Michelle French,645513491,2024327,0,2000,2000,2024327_1,Roll_NO:Sale_ID,0,0
2,1994-12-01 04:45:05,20 Days,Frank Payne,8555711596,2024740,2000,0,2000,2024740_2,Roll_NO:Sale_ID,0,0
3,1986-05-01 20:03:41,25 Days,Kathryn Morris,6005194894,2020509,0,2500,2500,2020509_3,Roll_NO:Sale_ID,0,0
4,1998-03-31 08:41:08,20 Days,Adam Bowen,6457548849,2020856,0,2000,2000,2020856_4,Roll_NO:Sale_ID,0,0
5,2019-05-22 08:30:47,15 Days,Aimee Williams,7780007784,2023600,1500,0,1500,2023600_5,Roll_NO:Sale_ID,0,0
6,2020-07-03 13:22:13,25 Days,Sara Norton,6207602219,2021918,0,2500,2500,2021918_6,Roll_NO:Sale_ID,0,0
7,1990-07-27 03:05:05,15 Days,Benjamin Johnson,4168483303,2021190,0,1500,1500,2021190_7,Roll_NO:Sale_ID,0,0
8,1971-11-16 06:17:35,25 Days,Thomas Munoz,8983732631,2020596,2500,0,2500,2020596_8,Roll_NO:Sale_ID,0,0
9,1988-02-26 17:57:29,25 Days,Andrew Smith,355797077,2023098,2500,0,2500,2023098_9,Roll_NO:Sale_ID,0,0
10,1981-03-28 19:19:30,25 Days,Mary Hodge MD,7047717072,2019809,2500,0,2500,2019809_10,Roll_NO:Sale_ID,0,0
11,1998-02-17 03:34:28,25 Days,Alicia Harris,156383287,2021563,0,2500,2500,2021563_11,Roll_NO:Sale_ID,0,0
12,2020-10-27 09:34:28,15 Days,Beverly Mccoy,623626647,2023523,1500,0,1500,2023523_12,Roll_NO:Sale_ID,0,0
13,2009-10-18 12:12:24,25 Days,Tyler Blevins,4083325257,2023289,0,2500,2500,2023289_13,Roll_NO:Sale_ID,0,0
14,1973-02-19 10:24:32,15 Days,Randy Williams,7813634185,2024418,0,1500,1500,2024418_14,Roll_NO:Sale_ID,0,0
15,1990-02-13 11:22:51,20 Days,Nicholas Jarvis,6970557554,2019241,2000,0,2000,2019241_15,Roll_NO:Sale_ID,0,0
16,1981-09-20 15:28:23,20 Days,Mary Kelly,683505964,2022291,2000,0,2000,2022291_16,Roll_NO:Sale_ID,0,0
17,1979-10-01 19:38:14,20 Days,Brenda Donovan,2278320280,2018124,2000,0,2000,2018124_17,Roll_NO:Sale_ID,0,0
18,2004-08-12 12:10:42,25 Days,Donald Grant,4708180725,2024530,0,2500,2500,2024530_18,Roll_NO:Sale_ID,0,0
19,1972-07-15 09:01:09,20 Days,Alyssa Pratt,6395904475,2019318,0,2000,2000,2019318_19,Roll_NO:Sale_ID,0,0
20,2020-12-16 21:17:02,15 Days,Lisa Peterson,3128450827,2023298,1500,0,1500,2023298_20,Roll_NO:Sale_ID,0,0
21,1983-08-05 03:37:59,25 Days,Crystal Burton MD,6920058658,2020012,0,2500,2500,2020012_21,Roll_NO:Sale_ID,0,0
22,2012-11-10 22:10:34,20 Days,Ashley Duncan,298329301,2022712,2000,0,2000,2022712_22,Roll_NO:Sale_ID,0,0
23,1973-10-07 17:46:02,15 Days,Melvin Williams,1698466027,2019481,0,1500,1500,2019481_23,Roll_NO:Sale_ID,0,0
24,1999-09-30 00:31:48,20 Days,Aimee Williams,7780007784,2023600,2000,0,2000,2023600_24,Roll_NO:Sale_ID,0,0
25,1998-07-17 21:35:46,25 Days,Dana Sanchez,8081791265,2018014,2500,0,2500,2018014_25,Roll_NO:Sale_ID,0,0
26,2002-02-25 01:38:16,15 Days,David Calhoun,6860386466,2022781,0,1500,1500,2022781_26,Roll_NO:Sale_ID,0,0
27,1992-11-16 01:40:47,20 Days,Lisa Peterson,3128450827,2023298,0,2000,2000,2023298_27,Roll_NO:Sale_ID,0,0
28,2007-03-20 03:16:47,25 Days,Ashley Duncan,298329301,2022712,0,2500,2500,2022712_28,Roll_NO:Sale_ID,0,0
29,2023-01-27 04:32:26,20 Days,Beverly Mccoy,623626647,2023523,0,2000,2000,2023523_29,Roll_NO:Sale_ID,0,0
30,1974-10-10 16:29:58,20 Days,Maureen Smith,3362259150,2023965,2000,0,2000,2023965_30,Roll_NO:Sale_ID,0,0
31,2008-11-18 18:01:09,25 Days,Michelle French,645513491,2024327,0,2500,2500,2024327_31,Roll_NO:Sale_ID,0,0
32,2008-02-26 18:54:29,20 Days,Elizabeth Morales,693591699,2021572,2000,0,2000,2021572_32,Roll_NO:Sale_ID,0,0
33,2006-08-24 19:02:28,25 Days,Colin Andrade,5023729409,2018775,2500,0,2500,2018775_33,Roll_NO:Sale_ID,0,0
34,1981-05-20 06:50:19,25 Days,William Black,3074091513,2018886,0,2500,2500,2018886_34,Roll_NO:Sale_ID,0,0
35,2003-01-07 22:57:37,25 Days,John Smith,2703268451,2019264,0,2500,2500,2019264_35,Roll_NO:Sale_ID,0,0
36,2011-04-10 17:37:52,15 Days,Alicia Harris,156383287,2021563,1500,0,1500,2021563_36,Roll_NO:Sale_ID,0,0
37,2020-09-07 08:38:44,20 Days,Amy Moody,3900764958,2022808,0,2000,2000,2022808_37,Roll_NO:Sale_ID,0,0
38,1982-09-05 17:42:54,15 Days,Thomas Smith,170367610,2023285,0,1500,1500,2023285_38,Roll_NO:Sale_ID,0,0
39,1994-11-20 02:49:07,15 Days,Zachary Frost,8186151852,2020416,0,1500,1500,2020416_39,Roll_NO:Sale_ID,0,0
40,1975-08-04 09:24:17,20 Days,Ernest Santana,3358393198,2024872,0,2000,2000,2024872_40,Roll_NO:Sale_ID,0,0
41,2013-06-07 18:15:25,15 Days,Thomas Smith,170367610,2023285,1500,0,1500,2023285_41,Roll_NO:Sale_ID,0,0
42,1985-10-18 09:28:06,25 Days,Heather Cherry,8277982157,2023324,2500,0,2500,2023324_42,Roll_NO:Sale_ID,0,0
43,1975-03-15 21:01:30,20 Days,Clifford Alexander,8005510606,2019275,0,2000,2000,2019275_43,Roll_NO:Sale_ID,0,0
44,2021-12-09 13:03:04,20 Days,Ernest Santana,3358393198,2024872,0,2000,2000,2024872_44,Roll_NO:Sale_ID,0,0
45,1992-04-15 15:39:42,15 Days,Kimberly Murphy,4842937929,2018956,1500,0,1500,2018956_45,Roll_NO:Sale_ID,0,0
46,1997-07-20 09:01:18,15 Days,Rachel Stephens,8926498750,2022149,0,1500,1500,2022149_46,Roll_NO:Sale_ID,0,0
47,1992-04-16 08:30:32,15 Days,Evan Butler,3748553362,2024620,1500,0,1500,2024620_47,Roll_NO:Sale_ID,0,0
48,2005-08-17 09:03:25,20 Days,Ashley Evans,7284721456,2020327,2000,0,2000,2020327_48,Roll_NO:Sale_ID,0,0
49,1993-04-01 19:08:43,25 Days,Maria Clark,3222842070,2018527,0,2500,2500,2018527_49,Roll_NO:Sale_ID,0,0
50,2021-01-06 23:56:12,25 Days,Christina Mcdowell,7635790464,2024428,2500,0,2500,2024428_50,Roll_NO:Sale_ID,0,0
51,1992-06-10 13:11:21,20 Days,Julie Johnson,878398049,2021005,2000,0,2000,2021005_51,Roll_NO:Sale_ID,0,0
52,2008-02-28 13:24:55,20 Days,Jessica Sandoval,8715574179,2019127,2000,0,2000,2019127_52,Roll_NO:Sale_ID,0,0
53,1987-09-08 01:13:36,20 Days,Autumn Clarke,3020901299,2023693,0,2000,2000,2023693_53,Roll_NO:Sale_ID,0,0
54,2023-05-26 22:04:31,25 Days,Kathryn Morris,6005194894,2020509,0,2500,2500,2020509_54,Roll_NO:Sale_ID,0,0
55,1970-10-18 20:12:39,15 Days,Bailey Mckay,2835438325,2020365,1500,0,1500,2020365_55,Roll_NO:Sale_ID,0,0
56,1987-12-31 21:14:03,15 Days,Maureen Smith,3362259150,2023965,1500,0,1500,2023965_56,Roll_NO:Sale_ID,0,0
57,2011-09-03 18:44:35,25 Days,Nicole Scott,2234315854,2019201,0,2500,2500,2019201_57,Roll_NO:Sale_ID,0,0
58,2005-06-29 17:38:16,25 Days,Alyssa Pratt,6395904475,2019318,2500,0,2500,2019318_58,Roll_NO:Sale_ID,0,0
59,1980-08-20 19:37:31,25 Days,Erica Hancock,3082591082,2019773,0,2500,2500,2019773_59,Roll_NO:Sale_ID,0,0
60,1977-09-14 04:38:18,15 Days,Erica Hancock,3082591082,2019773,0,1500,1500,2019773_60,Roll_NO:Sale_ID,0,0
61,1973-03-17 07:14:00,15 Days,Aimee Williams,7780007784,2023600,1500,0,1500,2023600_61,Roll_NO:Sale_ID,0,0
62,2018-08-15 13:26:44,25 Days,Marie Booker,347758935,2024129,2500,0,2500,2024129_62,Roll_NO:Sale_ID,0,0
63,1987-09-02 20:44:42,25 Days,Brenda Gardner,7471981198,2021128,2500,0,2500,2021128_63,Roll_NO:Sale_ID,0,0
64,1991-06-03 02:54:12,25 Days,Angela Montgomery,1241209884,2020489,0,2500,2500,2020489_64,Roll_NO:Sale_ID,0,0
65,2007-08-10 19:22:42,15 Days,Ernest Santana,3358393198,2024872,1500,0,1500,2024872_65,Roll_NO:Sale_ID,0,0
66,1989-07-19 00:44:56,15 Days,Kimberly Camacho,9438762922,2024886,0,1500,1500,2024886_66,Roll_NO:Sale_ID,0,0
67,2007-08-07 02:34:41,15 Days,Nicholas Jarvis,6970557554,2019241,0,1500,1500,2019241_67,Roll_NO:Sale_ID,0,0
68,2000-01-03 09:19:46,15 Days,Ashley Evans,7284721456,2020327,0,1500,1500,2020327_68,Roll_NO:Sale_ID,0,0
69,2014-02-22 23:53:43,25 Days,Benjamin Johnson,4168483303,2021190,0,2500,2500,2021190_69,Roll_NO:Sale_ID,0,0
70,2016-10-24 18:05:41,15 Days,Kimberly Camacho,9438762922,2024886,0,1500,1500,2024886_70,Roll_NO:Sale_ID,0,0
71,2017-07-09 01:06:45,15 Days,Nancy Martin,4440778211,2020952,1500,0,1500,2020952_71,Roll_NO:Sale_ID,0,0
72,2022-10-06 03:53:46,20 Days,Kathryn Morris,6005194894,2020509,0,2000,2000,2020509_72,Roll_NO:Sale_ID,0,0
73,1998-07-11 20:00:37,15 Days,Evan Butler,3748553362,2024620,0,1500,1500,2024620_73,Roll_NO:Sale_ID,0,0
74,1998-02-28 23:20:43,20 Days,Suzanne Tran,2399445445,2020660,0,2000,2000,2020660_74,Roll_NO:Sale_ID,0,0
75,1997-02-26 11:23:02,25 Days,Thomas Smith,170367610,2023285,2500,0,2500,2023285_75,Roll_NO:Sale_ID,0,0
76,2015-12-15 09:42:53,20 Days,William Black,3074091513,2018886,2000,0,2000,2018886_76,Roll_NO:Sale_ID,0,0
77,2008-06-10 08:45:14,25 Days,Taylor Miller,9572202764,2024842,2500,0,2500,2024842_77,Roll_NO:Sale_ID,0,0
78,1992-07-22 07:47:17,20 Days,Darin Johnson MD,9377137158,2020586,2000,0,2000,2020586_78,Roll_NO:Sale_ID,0,0
79,2005-05-28 18:18:34,25 Days,Gabrielle Hernandez,1672947381,2019545,2500,0,2500,2019545_79,Roll_NO:Sale_ID,0,0
80,1992-06-28 17:06:01,15 Days,James Jones,8798668609,2022047,1500,0,1500,2022047_80,Roll_NO:Sale_ID,0,0
81,1997-05-27 10:42:13,25 Days,Kimberly Murphy,4842937929,2018956,2500,0,2500,2018956_81,Roll_NO:Sale_ID,0,0
82,1981-02-25 12:25:58,20 Days,Beverly Mccoy,623626647,2023523,0,2000,2000,2023523_82,Roll_NO:Sale_ID,0,0
83,1977-01-20 06:11:27,15 Days,Brenda Gardner,7471981198,2021128,1500,0,1500,2021128_83,Roll_NO:Sale_ID,0,0
84,1986-01-13 15:06:56,15 Days,Raven Fletcher,2420628909,2020549,0,1500,1500,2020549_84,Roll_NO:Sale_ID,0,0
85,2009-10-19 10:40:38,20 Days,Donald Grant,4708180725,2024530,2000,0,2000,2024530_85,Roll_NO:Sale_ID,0,0
86,2016-10-06 20:15:31,25 Days,Randy Williams,7813634185,2024418,0,2500,2500,2024418_86,Roll_NO:Sale_ID,0,0
87,1993-06-17 10:27:25,20 Days,Evan Butler,3748553362,2024620,2000,0,2000,2024620_87,Roll_NO:Sale_ID,0,0
88,2002-09-01 15:06:09,25 Days,Aimee Williams,7780007784,2023600,2500,0,2500,2023600_88,Roll_NO:Sale_ID,0,0
89,1995-12-29 16:53:33,25 Days,William Black,7586676367,2022581,2500,0,2500,2022581_89,Roll_NO:Sale_ID,0,0
90,1985-01-23 20:39:29,25 Days,Nancy Martin,4440778211,2020952,0,2500,2500,2020952_90,Roll_NO:Sale_ID,0,0
91,1980-04-15 18:11:12,20 Days,Elizabeth Johnson,17353120,2020259,0,2000,2000,2020259_91,Roll_NO:Sale_ID,0,0
