Sale ID,Sale Date,Coupon Type,Name,Phone Number,Roll NO,Paytm,Cash,Total Amount
1,1999-10-11 02:56:18,30 days,David Vargas,+1-827-867-2765,2019083,99011,505,1341
2,2009-12-25 10:41:14,30 days,Trevor Davidson,(764)834-2309x21817,2022094,885878,87,221
3,1975-12-19 00:57:11,7 days,Joseph Byrd,+1-623-467-0761,2021019,812441,450,3590
4,2010-08-20 18:17:32,7 days,Anna Andrews,5942862628,2024065,625066,664,3829
5,2022-09-13 05:41:08,7 days,Matthew Porter,(507)589-3279,2022064,611730,292,7411
6,2011-08-02 05:30:45,30 days,Kevin Wu DDS,001-985-554-5710x79022,2018050,986667,237,3303
7,1990-01-15 16:04:42,7 days,Sherri Mccann,737.735.6723,2023035,929651,860,3129
8,2005-06-15 06:40:36,30 days,Crystal Black,(527)561-2802x8837,2022063,158602,787,9672
9,1976-10-13 19:17:13,30 days,Patrick Rodriguez,(380)462-8818x71120,2023059,258508,177,9945
10,1998-06-19 03:20:43,30 days,Megan George,340.763.1418x8907,2020055,416062,134,8186
11,1996-06-18 12:18:26,30 days,Ashley Rodriguez,429-726-1177,2024010,467172,569,4957
12,1971-10-22 04:51:56,7 days,Chelsea Cervantes,(390)914-5287,2018060,470745,374,7601
13,2005-09-12 13:15:09,7 days,Charlene Cooke,749-757-8860x9882,2018050,266774,903,9329
14,1982-11-29 07:13:57,30 days,Phyllis Arnold,832-748-4247x71268,2020082,40772,735,1631
15,1985-01-01 21:50:10,30 days,Jim Butler,460.944.1330x90782,2018050,843725,952,4644
16,2011-10-18 04:53:01,7 days,Jason May,+1-784-881-1663x09240,2021078,537161,472,8177
17,2000-06-24 14:32:29,7 days,Erica Herrera,(455)779-4456,2024039,155642,751,1671
18,1993-10-06 00:40:35,30 days,Alexander Frank,249-307-7906x940,2019023,524534,775,830
19,2023-08-14 06:43:29,7 days,Lisa Baldwin,+1-627-969-9762x423,2019091,606701,838,1348
20,1978-05-02 07:17:59,7 days,Michael Yates,941.454.6530x86039,2022077,340450,557,6411
