Sr No,Card Number,Membership Expiry,Name,Roll No,Sex,Department,Presence,Unique_Key,Key_Combination,LookUp_Count,Update_Count
1,261,1984-06-21,Kendra King,2024338,Male,BTech,True,2024338_1,Roll_No:Sr_No,0,0
2,639,2014-12-22,Donna Sanchez,2022307,Male,Mtech,False,2022307_2,Roll_No:Sr_No,0,0
3,229,1998-03-05,Jamie Acevedo,2024332,Female,BTech,True,2024332_3,Roll_No:Sr_No,0,0
4,361,2011-08-27,Dana Baker,2022080,Female,Mtech,False,2022080_4,Roll_No:Sr_No,0,0
5,886,1985-12-03,Michael Lopez,2019487,Female,BTech,False,2019487_5,Roll_No:Sr_No,0,0
6,828,2010-07-11,Joseph Webb,2024245,Female,BTech,False,2024245_6,Roll_No:Sr_No,0,0
7,117,1999-10-16,Peter Hernandez Jr.,2019431,Female,Mtech,True,2019431_7,Roll_No:Sr_No,0,0
8,366,2006-07-09,Peter Hernandez Jr.,2019431,Female,Mtech,False,2019431_8,Roll_No:Sr_No,0,0
9,875,1974-07-19,Shawn Peterson,2022131,Female,BTech,True,2022131_9,Roll_No:Sr_No,0,0
10,321,1975-06-24,Wanda Gonzales,2023738,Female,PhD,True,2023738_10,Roll_No:Sr_No,0,0
11,469,2005-06-08,Nichole Guerrero,2022766,Female,Mtech,True,2022766_11,Roll_No:Sr_No,0,0
12,153,2001-09-28,Anne Walton,2022052,Female,Mtech,True,2022052_12,Roll_No:Sr_No,0,0
13,422,2017-09-08,Dana Baker,2022080,Male,Mtech,False,2022080_13,Roll_No:Sr_No,0,0
14,132,1970-11-26,Peggy Small,2021104,Female,PhD,False,2021104_14,Roll_No:Sr_No,0,0
15,651,1985-06-06,Richard Smith,2018319,Female,Mtech,False,2018319_15,Roll_No:Sr_No,0,0
16,111,1982-01-13,Adriana Gonzalez,2022726,Female,BTech,False,2022726_16,Roll_No:Sr_No,0,0
17,922,1987-01-16,Patricia Hill MD,2021177,Male,Mtech,False,2021177_17,Roll_No:Sr_No,0,0
18,738,2007-08-20,Jessica Bennett,2020763,Female,Mtech,True,2020763_18,Roll_No:Sr_No,0,0
19,613,2011-01-25,Gabriel Wolf,2023337,Female,Mtech,True,2023337_19,Roll_No:Sr_No,0,0
20,498,1991-07-30,John Macdonald,2024934,Female,PhD,True,2024934_20,Roll_No:Sr_No,0,0
21,457,2022-10-19,Allison Nichols,2018847,Female,BTech,True,2018847_21,Roll_No:Sr_No,0,0
22,267,2011-11-09,David Johnson,2024668,Male,Mtech,False,2024668_22,Roll_No:Sr_No,0,0
23,361,2001-05-02,Scott Cole,2020700,Female,Mtech,False,2020700_23,Roll_No:Sr_No,0,0
24,352,2001-07-21,Gregory Hernandez,2022970,Female,Mtech,True,2022970_24,Roll_No:Sr_No,0,0
25,285,2009-06-10,Richard Smith,2018319,Female,Mtech,False,2018319_25,Roll_No:Sr_No,0,0
26,189,2000-07-17,Emily Hamilton,2021083,Female,PhD,False,2021083_26,Roll_No:Sr_No,0,0
27,44,1995-01-17,Randy Blackburn,2022147,Female,PhD,True,2022147_27,Roll_No:Sr_No,0,0
28,309,2002-07-02,Randy Blackburn,2022147,Female,PhD,True,2022147_28,Roll_No:Sr_No,0,0
29,981,1999-10-24,Nicole Perez,2021644,Female,PhD,True,2021644_29,Roll_No:Sr_No,0,0
30,440,2002-05-16,Robert Barr,2023483,Female,PhD,True,2023483_30,Roll_No:Sr_No,0,0
31,151,2012-05-30,Scott Cole,2020700,Female,Mtech,True,2020700_31,Roll_No:Sr_No,0,0
32,936,1987-07-10,Sara Garcia,2020424,Female,Mtech,True,2020424_32,Roll_No:Sr_No,0,0
33,129,2012-12-25,Dylan Stephens,2022390,Female,BTech,False,2022390_33,Roll_No:Sr_No,0,0
34,942,1984-05-13,Nicole Perez,2021644,Female,PhD,False,2021644_34,Roll_No:Sr_No,0,0
35,731,2014-03-02,Cynthia Cruz,2019342,Male,Mtech,True,2019342_35,Roll_No:Sr_No,0,0
36,143,2018-03-16,Scott King,2023045,Male,PhD,False,2023045_36,Roll_No:Sr_No,0,0
37,437,2007-06-16,Christopher Wright,2018997,Female,Mtech,True,2018997_37,Roll_No:Sr_No,0,0
38,960,1987-01-10,Brandon Terry,2024209,Male,BTech,False,2024209_38,Roll_No:Sr_No,0,0
39,631,1979-10-09,Brandi Wilson,2020253,Female,Mtech,False,2020253_39,Roll_No:Sr_No,0,0
40,181,2003-03-19,Bryan Hall,2023795,Female,PhD,False,2023795_40,Roll_No:Sr_No,0,0
41,293,2012-08-18,Rebecca Smith,2021026,Male,PhD,False,2021026_41,Roll_No:Sr_No,0,0
42,422,1971-02-21,Johnny Dixon,2018056,Male,BTech,False,2018056_42,Roll_No:Sr_No,0,0
43,246,1996-07-21,Calvin Zavala,2024571,Female,Mtech,True,2024571_43,Roll_No:Sr_No,0,0
44,868,2020-11-07,David Johnson,2024668,Male,Mtech,False,2024668_44,Roll_No:Sr_No,0,0
45,323,2010-12-28,Jennifer Henderson,2021797,Female,Mtech,False,2021797_45,Roll_No:Sr_No,0,0
46,289,1995-01-21,Leonard Castillo,2024753,Male,BTech,True,2024753_46,Roll_No:Sr_No,0,0
47,922,1977-12-30,Wendy Davenport,2024399,Male,BTech,False,2024399_47,Roll_No:Sr_No,0,0
48,185,1999-01-21,John Roberts,2020148,Female,PhD,False,2020148_48,Roll_No:Sr_No,0,0
49,472,1990-09-24,Kimberly Kramer,2023781,Female,PhD,True,2023781_49,Roll_No:Sr_No,0,0
50,649,2014-06-08,Leonard Castillo,2024753,Female,BTech,False,2024753_50,Roll_No:Sr_No,0,0
51,521,1979-11-24,Michael Castillo,2018873,Male,BTech,False,2018873_51,Roll_No:Sr_No,0,0
52,608,2006-06-06,Michael Potts,2024287,Male,PhD,False,2024287_52,Roll_No:Sr_No,0,0
53,352,2003-11-02,Daniel Campos,2021823,Female,PhD,False,2021823_53,Roll_No:Sr_No,0,0
54,663,1992-07-20,Melissa Brown,2024640,Female,PhD,False,2024640_54,Roll_No:Sr_No,0,0
55,225,1970-02-12,Melissa Brown,2024640,Female,PhD,True,2024640_55,Roll_No:Sr_No,0,0
56,465,2018-12-27,Allison Nichols,2018847,Male,BTech,True,2018847_56,Roll_No:Sr_No,0,0
57,884,2001-06-07,Casey Delacruz,2022686,Male,BTech,False,2022686_57,Roll_No:Sr_No,0,0
58,601,1972-05-08,Craig Smith,2018259,Female,BTech,False,2018259_58,Roll_No:Sr_No,0,0
59,331,1995-09-10,John Roberts,2020148,Male,PhD,False,2020148_59,Roll_No:Sr_No,0,0
60,219,1985-07-20,Craig Smith,2018259,Female,BTech,True,2018259_60,Roll_No:Sr_No,0,0
61,665,2000-05-26,Joseph Webb,2024245,Male,BTech,True,2024245_61,Roll_No:Sr_No,0,0
62,262,2009-03-01,Daniel Campos,2021823,Female,PhD,False,2021823_62,Roll_No:Sr_No,0,0
63,571,1974-11-07,Shannon Horne,2024677,Male,BTech,True,2024677_63,Roll_No:Sr_No,0,0
64,569,1988-03-10,Grant Murphy,2023127,Female,BTech,False,2023127_64,Roll_No:Sr_No,0,0
65,334,1979-01-05,Peggy Small,2021104,Female,PhD,False,2021104_65,Roll_No:Sr_No,0,0
66,74,1996-05-16,Veronica Hubbard,2020472,Female,PhD,True,2020472_66,Roll_No:Sr_No,0,0
67,666,1971-02-24,Ashley Grant,2024914,Female,Mtech,True,2024914_67,Roll_No:Sr_No,0,0
68,114,1989-05-21,Kevin Cruz,2019810,Female,PhD,False,2019810_68,Roll_No:Sr_No,0,0
69,665,1992-11-05,Patricia Hill MD,2021177,Male,Mtech,True,2021177_69,Roll_No:Sr_No,0,0
70,813,1992-12-13,Cole Morse,2020307,Male,PhD,False,2020307_70,Roll_No:Sr_No,0,0
71,769,1992-07-21,Nichole Guerrero,2022766,Male,Mtech,False,2022766_71,Roll_No:Sr_No,0,0
72,18,1998-08-20,Dylan Stephens,2022390,Male,BTech,True,2022390_72,Roll_No:Sr_No,0,0
73,457,2006-09-23,Anne Walton,2022052,Female,Mtech,False,2022052_73,Roll_No:Sr_No,0,0
74,828,1985-08-20,Matthew King,2018713,Male,BTech,True,2018713_74,Roll_No:Sr_No,0,0
75,793,2021-06-05,Crystal Smith,2020605,Male,BTech,False,2020605_75,Roll_No:Sr_No,0,0
76,203,1993-11-17,Casey Delacruz,2022686,Male,BTech,False,2022686_76,Roll_No:Sr_No,0,0
77,360,2002-01-26,Kimberly Kramer,2023781,Male,PhD,True,2023781_77,Roll_No:Sr_No,0,0
78,23,1997-11-01,Shannon Horne,2024677,Male,BTech,True,2024677_78,Roll_No:Sr_No,0,0
79,16,2018-09-08,Michael Castillo,2018873,Male,BTech,True,2018873_79,Roll_No:Sr_No,0,0
80,791,1986-08-18,Mikayla Robinson,2022161,Female,PhD,True,2022161_80,Roll_No:Sr_No,0,0
81,749,1975-01-24,Pamela Johnson,2024591,Male,BTech,False,2024591_81,Roll_No:Sr_No,0,0
82,630,1979-07-06,Donna Sanchez,2022307,Male,Mtech,True,2022307_82,Roll_No:Sr_No,0,0
83,565,2015-12-26,Gary Heath,2023943,Female,Mtech,False,2023943_83,Roll_No:Sr_No,0,0
84,376,1972-01-23,Cynthia Cruz,2019342,Male,Mtech,False,2019342_84,Roll_No:Sr_No,0,0
85,356,1974-04-29,Matthew King,2018713,Male,BTech,True,2018713_85,Roll_No:Sr_No,0,0
86,965,1989-03-05,Gary Heath,2023943,Female,Mtech,False,2023943_86,Roll_No:Sr_No,0,0
87,708,1980-12-08,Jennifer Henderson,2021797,Female,Mtech,False,2021797_87,Roll_No:Sr_No,0,0
88,290,1996-04-12,Richard Smith,2018319,Female,Mtech,True,2018319_88,Roll_No:Sr_No,0,0
89,8,2005-12-14,Alejandra Simmons,2023734,Male,PhD,False,2023734_89,Roll_No:Sr_No,0,0
90,708,2004-06-02,John Roberts,2020148,Female,PhD,False,2020148_90,Roll_No:Sr_No,0,0
