Date,Name,Tax ID,Payment,Roll No,In_Time,Sign,Unique_Key,Key_Combination,LookUp_Count,Update_Count
1991-05-12,Lisa Alvarez,2763,678,2023919,14:59,Lisa Alvarez,2023919_14:59_1991-05-12,Roll_No:In_Time:Date,0,0
1986-10-30,Shawn Jones,2537,708,2018729,21:14,Shawn Jones,2018729_21:14_1986-10-30,Roll_No:In_Time:Date,0,0
2022-10-31,Timothy Lopez,7015,655,2018420,07:59,Timothy Lopez,2018420_07:59_2022-10-31,Roll_No:In_Time:Date,0,0
2016-04-25,Jenna Love,6366,503,2024876,19:10,Jenna Love,2024876_19:10_2016-04-25,Roll_No:In_Time:Date,0,0
2017-12-09,Olivia Conley,1215,741,2022620,07:20,Olivia Conley,2022620_07:20_2017-12-09,Roll_No:In_Time:Date,0,0
1988-05-31,Sara Davis,6506,232,2021220,15:08,Sara Davis,2021220_15:08_1988-05-31,Roll_No:In_Time:Date,0,0
1978-03-11,Dawn Ryan,5042,216,2023101,06:26,Dawn Ryan,2023101_06:26_1978-03-11,Roll_No:In_Time:Date,0,0
2003-11-25,John Nguyen,5286,567,2024376,04:53,John Nguyen,2024376_04:53_2003-11-25,Roll_No:In_Time:Date,0,0
1991-04-14,Jenna Love,1629,644,2024876,15:50,Jenna Love,2024876_15:50_1991-04-14,Roll_No:In_Time:Date,0,0
1993-05-05,Alyssa Scott,1614,257,2024119,02:05,Alyssa Scott,2024119_02:05_1993-05-05,Roll_No:In_Time:Date,0,0
1982-11-15,James Beck,9798,808,2022040,03:16,James Beck,2022040_03:16_1982-11-15,Roll_No:In_Time:Date,0,0
2004-02-19,Justin Weber,68,877,2024854,18:13,Justin Weber,2024854_18:13_2004-02-19,Roll_No:In_Time:Date,0,0
2015-09-02,Christopher Hall,5661,504,2021982,06:30,Christopher Hall,2021982_06:30_2015-09-02,Roll_No:In_Time:Date,0,0
1972-08-02,Oscar Huang,7204,316,2024987,08:57,Oscar Huang,2024987_08:57_1972-08-02,Roll_No:In_Time:Date,0,0
1973-11-22,Brooke Romero,5842,601,2021515,22:35,Brooke Romero,2021515_22:35_1973-11-22,Roll_No:In_Time:Date,0,0
1976-09-08,Jo Bennett,134,98,2024990,22:25,Jo Bennett,2024990_22:25_1976-09-08,Roll_No:In_Time:Date,0,0
2003-01-25,Christopher Hall,1359,69,2021982,08:48,Christopher Hall,2021982_08:48_2003-01-25,Roll_No:In_Time:Date,0,0
1995-02-14,John Henry,8580,195,2022230,22:33,John Henry,2022230_22:33_1995-02-14,Roll_No:In_Time:Date,0,0
