Roll No,Name,Contact No,Email ID,Course,Gender
2022725,Brad Armstrong,2456146108,brad22725@iiitd.ac.in,BTech,Female
2022328,Scott Freeman,676766988,scott22328@iiitd.ac.in,Mtech,Male
2021128,Mark Ramos,4844920649,mark21128@iiitd.ac.in,PhD,Female
2020222,Carol Hayes,4651502874,carol20222@iiitd.ac.in,BTech,Female
2023962,Lawrence Weaver,1187090015,lawrence23962@iiitd.ac.in,Mtech,Female
2023745,Zachary Houston,2310796157,zachary23745@iiitd.ac.in,PhD,Female
2020213,Harold Moreno,2322998750,harold20213@iiitd.ac.in,BTech,Female
2021131,Gregory Duke,3405934871,gregory21131@iiitd.ac.in,Mtech,Male
2022487,Mrs. Nicole Griffin,169303181,mrs.22487@iiitd.ac.in,PhD,Female
2019842,Christy Gibson PhD,3618339740,christy19842@iiitd.ac.in,BTech,Male
2022159,Mario Jordan,1839252223,mario22159@iiitd.ac.in,Mtech,Female
2022546,Collin Flores,6589147582,collin22546@iiitd.ac.in,PhD,Female
2021138,Jasmine Dickerson,2320745734,jasmine21138@iiitd.ac.in,BTech,Male
2023187,Cody Bowers,4090685852,cody23187@iiitd.ac.in,Mtech,Female
2024967,Matthew Williams,1846999009,matthew24967@iiitd.ac.in,PhD,Female
2018418,Jesse Wallace,2208196456,jesse18418@iiitd.ac.in,BTech,Male
2020093,Patricia Phillips,8856230825,patricia20093@iiitd.ac.in,Mtech,Female
2024122,Troy Campbell,748640831,troy24122@iiitd.ac.in,PhD,Female
2020104,Jacob Perez,2209024903,jacob20104@iiitd.ac.in,BTech,Male
2019993,Megan Fowler,7755544218,megan19993@iiitd.ac.in,Mtech,Female
2020296,Kimberly Johnson,5887519320,kimberly20296@iiitd.ac.in,PhD,Female
2023106,Bridget Evans,1835668351,bridget23106@iiitd.ac.in,BTech,Male
2022317,Karen Bennett,4585988233,karen22317@iiitd.ac.in,Mtech,Male
2020150,Lauren Mayer,5876089437,lauren20150@iiitd.ac.in,PhD,Male
2020269,Todd Arellano,6474058731,todd20269@iiitd.ac.in,BTech,Male
2024726,Mr. Ian Ward,9512308933,mr.24726@iiitd.ac.in,Mtech,Male
2022531,Patricia Cook,9220878541,patricia22531@iiitd.ac.in,PhD,Female
2019303,Valerie Henry,9297181698,valerie19303@iiitd.ac.in,BTech,Male
2024709,Nathan Smith,3007082866,nathan24709@iiitd.ac.in,Mtech,Female
2022169,Alexander Jones,3765225842,alexander22169@iiitd.ac.in,PhD,Male
2024499,Robert Smith,4750292241,robert24499@iiitd.ac.in,BTech,Female
2022848,Robin Rivas,8692917410,robin22848@iiitd.ac.in,Mtech,Female
2023552,Bryan Donovan,2330769019,bryan23552@iiitd.ac.in,PhD,Male
2023549,Henry Miller,7100120813,henry23549@iiitd.ac.in,BTech,Female
2020961,Matthew Jimenez,5226189951,matthew20961@iiitd.ac.in,Mtech,Female
2023959,Tara Morris,6085434017,tara23959@iiitd.ac.in,PhD,Male
2019914,Julian White,2857953488,julian19914@iiitd.ac.in,BTech,Female
2024786,Michael Martinez,1887682147,michael24786@iiitd.ac.in,Mtech,Male
2022624,Cassandra Richardson,6883317890,cassandra22624@iiitd.ac.in,PhD,Female
2023527,Kevin Ward,3275739098,kevin23527@iiitd.ac.in,BTech,Male
2019883,Kristen Gonzalez,2113164185,kristen19883@iiitd.ac.in,Mtech,Male
2020162,Thomas Graham,4322515148,thomas20162@iiitd.ac.in,PhD,Male
2018254,Lori Parker,964218027,lori18254@iiitd.ac.in,BTech,Female
2018098,Ryan George,4530392026,ryan18098@iiitd.ac.in,Mtech,Male
2023103,Melissa Shaw,8954936030,melissa23103@iiitd.ac.in,PhD,Female
2021002,Jason Roberts,3630732846,jason21002@iiitd.ac.in,BTech,Female
2023592,Jessica Johnson,1068015350,jessica23592@iiitd.ac.in,Mtech,Male
2019845,Mark Schroeder,5519710031,mark19845@iiitd.ac.in,PhD,Male
2023373,Jeffrey Cook,6946330350,jeffrey23373@iiitd.ac.in,BTech,Female
2019917,Jennifer Wilson,5980745381,jennifer19917@iiitd.ac.in,Mtech,Female
2021212,Nathan Luna,4060455811,nathan21212@iiitd.ac.in,PhD,Male
2018253,Alex Ball,5812100252,alex18253@iiitd.ac.in,BTech,Female
2024297,Timothy Armstrong,2096990872,timothy24297@iiitd.ac.in,Mtech,Male
2024869,Shirley Huff,7074113238,shirley24869@iiitd.ac.in,PhD,Female
2024494,John Henry,2188111645,john24494@iiitd.ac.in,BTech,Female
2023888,Brittany Williams,1496489336,brittany23888@iiitd.ac.in,Mtech,Female
2020417,Andrew Peterson,3156275604,andrew20417@iiitd.ac.in,PhD,Male
2020797,Jennifer Kidd,6930432569,jennifer20797@iiitd.ac.in,BTech,Female
2022847,Kathryn Wallace,6718464920,kathryn22847@iiitd.ac.in,Mtech,Female
2018764,Christopher Turner,510567441,christopher18764@iiitd.ac.in,PhD,Female
2024519,Christina Gordon,881243269,christina24519@iiitd.ac.in,BTech,Female
2021102,Louis Davidson,891660415,louis21102@iiitd.ac.in,Mtech,Male
2020783,Richard Ferguson,3065318843,richard20783@iiitd.ac.in,PhD,Female
2018976,Jennifer Walsh,4244111274,jennifer18976@iiitd.ac.in,BTech,Male
2019442,Martha Gordon,628129916,martha19442@iiitd.ac.in,Mtech,Female
2019467,Miguel Scott,496865045,miguel19467@iiitd.ac.in,PhD,Male
2024070,Juan Young,7048783113,juan24070@iiitd.ac.in,BTech,Male
2021727,Sarah Johnson,3544730161,sarah21727@iiitd.ac.in,Mtech,Female
2023341,Kimberly Adams,7285384122,kimberly23341@iiitd.ac.in,PhD,Male
2019540,Nicole Walsh,2356509362,nicole19540@iiitd.ac.in,BTech,Male
2023460,Ms. Emily Miller,3664946161,ms.23460@iiitd.ac.in,Mtech,Male
2024218,Shannon Bradley,1491153420,shannon24218@iiitd.ac.in,PhD,Female
2023255,Jessica Mercer,5595701286,jessica23255@iiitd.ac.in,BTech,Male
2019931,Elizabeth Williams,446124691,elizabeth19931@iiitd.ac.in,Mtech,Female
2020314,Manuel Casey,348238811,manuel20314@iiitd.ac.in,PhD,Female
2021546,Martha Williams,7215543463,martha21546@iiitd.ac.in,BTech,Male
2021892,Stephen Dudley DVM,9656049017,stephen21892@iiitd.ac.in,Mtech,Male
2023609,Charles Melton,4797263931,charles23609@iiitd.ac.in,PhD,Male
2019200,Marcus Everett,2361619183,marcus19200@iiitd.ac.in,BTech,Male
2020211,Jesse Henderson,7900272584,jesse20211@iiitd.ac.in,Mtech,Female
2022230,Christopher Nichols,1371627839,christopher22230@iiitd.ac.in,PhD,Female
2018956,David Silva,5390652644,david18956@iiitd.ac.in,BTech,Male
2021316,Thomas Galloway,9230913708,thomas21316@iiitd.ac.in,Mtech,Male
2021541,Monica Brewer,8992898751,monica21541@iiitd.ac.in,PhD,Female
2023518,Grace Green,4074961714,grace23518@iiitd.ac.in,BTech,Male
2021651,Aaron Weeks,1609980311,aaron21651@iiitd.ac.in,Mtech,Female
2019192,Amy Miller,4664227070,amy19192@iiitd.ac.in,PhD,Female
2020246,Christina White,4063274354,christina20246@iiitd.ac.in,BTech,Male
2018815,Christopher Norton,2089705754,christopher18815@iiitd.ac.in,Mtech,Female
2020798,Becky Reed,4889284940,becky20798@iiitd.ac.in,PhD,Female
2020630,Joseph Alvarado Jr.,5105668696,joseph20630@iiitd.ac.in,BTech,Female
