Roll No,Name,Contact No,Email,Course,Gender
2023780,Karen Hart,5100529299,karen23780@iiitd.ac.in,BTech,Male
2022012,Jessica Chase,2658610320,jessica22012@iiitd.ac.in,Mtech,Male
2023578,Dakota Smith,4244744247,dakota23578@iiitd.ac.in,PhD,Male
2022809,Cynthia Miranda,3706588971,cynthia22809@iiitd.ac.in,BTech,Male
2021656,Steven Clark,8559381065,steven21656@iiitd.ac.in,Mtech,Female
2023545,Ryan Washington,2577631225,ryan23545@iiitd.ac.in,PhD,Female
2018510,Morgan Long,2488480995,morgan18510@iiitd.ac.in,BTech,Female
2023312,Pamela Smith,5171458753,pamela23312@iiitd.ac.in,Mtech,Male
2020511,Emily Elliott,536710972,emily20511@iiitd.ac.in,PhD,Male
2021976,Allen Phillips,1842082840,allen21976@iiitd.ac.in,BTech,Male
2022019,Christina Buchanan,9149141782,christina22019@iiitd.ac.in,Mtech,Male
2018664,Nicholas Martinez,7437623729,nicholas18664@iiitd.ac.in,PhD,Male
2024804,William Spencer,4656069020,william24804@iiitd.ac.in,BTech,Male
2023976,Peter Roman,9243964048,peter23976@iiitd.ac.in,Mtech,Female
2023550,Linda Brown,7305558224,linda23550@iiitd.ac.in,PhD,Female
2022199,Michael Bray,9209603229,michael22199@iiitd.ac.in,BTech,Female
2018968,Brenda Wright,2534855383,brenda18968@iiitd.ac.in,Mtech,Female
2024140,Linda Jensen,9654073298,linda24140@iiitd.ac.in,PhD,Female
2024537,Jacob Terry,9025539267,jacob24537@iiitd.ac.in,BTech,Male
2024825,Aaron Bridges,7138466702,aaron24825@iiitd.ac.in,Mtech,Male
2023709,Amy Boone,5741559590,amy23709@iiitd.ac.in,PhD,Female
2019745,Gary Patterson,9765676356,gary19745@iiitd.ac.in,BTech,Female
2023350,Christopher Deleon,1469807851,christopher23350@iiitd.ac.in,Mtech,Female
2020872,Mary Williams,4221116310,mary20872@iiitd.ac.in,PhD,Male
2024615,Alicia Lang,546532046,alicia24615@iiitd.ac.in,BTech,Male
2021549,Dawn Mcintyre,9239258879,dawn21549@iiitd.ac.in,Mtech,Female
2022335,Brandon Hernandez,630035204,brandon22335@iiitd.ac.in,PhD,Male
2019823,Philip Clark,3789158704,philip19823@iiitd.ac.in,BTech,Female
2018009,Lisa Hobbs,8962966154,lisa18009@iiitd.ac.in,Mtech,Male
2020019,Michelle Mckenzie,5599978335,michelle20019@iiitd.ac.in,PhD,Male
2024528,Justin Rodgers,737646250,justin24528@iiitd.ac.in,BTech,Male
2021186,Debbie Nguyen,8461680055,debbie21186@iiitd.ac.in,Mtech,Female
2019086,Kimberly Jensen,9352195852,kimberly19086@iiitd.ac.in,PhD,Male
2018918,Christina Reeves,2647357457,christina18918@iiitd.ac.in,BTech,Male
2022190,Pamela Martin,2308355365,pamela22190@iiitd.ac.in,Mtech,Male
2024365,Allison Garcia,1381462114,allison24365@iiitd.ac.in,PhD,Male
2020670,Roger Harrison,4783353233,roger20670@iiitd.ac.in,BTech,Female
2019713,Robin Wilson,6993547239,robin19713@iiitd.ac.in,Mtech,Female
2024224,Michael Carpenter,3890568232,michael24224@iiitd.ac.in,PhD,Male
2023746,Stacey Miller,799831961,stacey23746@iiitd.ac.in,BTech,Female
2023053,Todd Huynh,1335700741,todd23053@iiitd.ac.in,Mtech,Female
2022824,Benjamin Wells,778558742,benjamin22824@iiitd.ac.in,PhD,Female
2024206,John Mccarthy,7799499711,john24206@iiitd.ac.in,BTech,Male
2021442,Brenda Mcpherson,7715577774,brenda21442@iiitd.ac.in,Mtech,Male
2024075,Victor Morales,3512818451,victor24075@iiitd.ac.in,PhD,Male
2021180,Pamela Mason MD,1431322091,pamela21180@iiitd.ac.in,BTech,Male
2019903,Katie Rodriguez,7603334187,katie19903@iiitd.ac.in,Mtech,Male
2020132,Jesse Wong,5388182992,jesse20132@iiitd.ac.in,PhD,Female
