Sr No,Card Number,Membership Expiry,Name,Roll No,Sex,Department,Presence
1,493,1994-11-25,Gregory Duke,2021131,Male,Mtech,True
2,11,2002-08-06,Jennifer Walsh,2018976,Male,BTech,False
3,475,2015-09-28,Harold Moreno,2020213,Male,BTech,False
4,203,2000-06-13,Henry Miller,2023549,Female,BTech,False
5,366,1995-07-06,Michael Martinez,2024786,Female,Mtech,False
6,606,2020-11-11,Mario Jordan,2022159,Male,Mtech,True
7,13,2021-11-22,Carol Hayes,2020222,Male,BTech,True
8,584,2018-11-07,Richard Ferguson,2020783,Female,PhD,False
9,46,2003-08-20,Mr. Ian Ward,2024726,Male,Mtech,False
10,841,2018-09-07,Jennifer Walsh,2018976,Female,BTech,True
11,3,1975-04-25,Martha Gordon,2019442,Female,Mtech,False
12,501,2014-08-24,Kevin Ward,2023527,Female,BTech,True
13,179,1992-11-30,Jeffrey Cook,2023373,Female,BTech,False
14,429,1992-01-03,Shirley Huff,2024869,Female,PhD,True
15,237,2007-08-02,Mark Schroeder,2019845,Female,PhD,True
16,139,2000-09-23,Cassandra Richardson,2022624,Male,PhD,False
17,748,2009-09-18,Christy Gibson PhD,2019842,Female,BTech,False
18,0,2005-05-29,Mr. Ian Ward,2024726,Male,Mtech,False
19,319,2022-10-20,Charles Melton,2023609,Male,PhD,False
20,909,2013-05-11,Jocelyn Ward,2018118,Female,BTech,False
21,225,2002-04-13,Gabriel Richards,2023661,Male,PhD,False
22,814,2022-06-28,Jennifer Walsh,2018976,Female,BTech,True
23,676,1982-11-16,Jeffrey Cook,2023373,Male,BTech,True
24,448,1970-09-04,Martha Williams,2021546,Female,BTech,True
25,266,1989-02-20,Tyler Sanders,2023709,Male,Mtech,True
26,52,2010-01-07,Ryan George,2018098,Male,Mtech,False
27,684,1973-12-30,Jessica Johnson,2023592,Female,Mtech,True
28,10,1984-05-30,Cassandra Richardson,2022624,Female,PhD,False
29,855,2013-08-15,Bryan Donovan,2023552,Female,PhD,False
30,443,1979-08-29,Cassandra Richardson,2022624,Male,PhD,False
31,262,1991-08-11,Brad Armstrong,2022725,Female,BTech,True
32,951,1994-07-27,Christina Gordon,2024519,Female,BTech,False
33,89,2018-10-26,Marcus Everett,2019200,Female,BTech,True
34,5,2021-09-16,Shirley Huff,2024869,Female,PhD,True
35,276,2006-08-01,Joseph Alvarado Jr.,2020630,Male,BTech,True
36,875,1974-11-03,Cody Bowers,2023187,Male,Mtech,False
37,613,1975-11-08,Martha Williams,2021546,Male,BTech,False
38,520,2000-10-23,Manuel Casey,2020314,Female,PhD,False
39,269,1998-03-19,Michael Martinez,2024786,Male,Mtech,True
40,454,2020-10-26,Christy Gibson PhD,2019842,Female,BTech,False
41,222,2018-08-29,Robin Rivas,2022848,Female,Mtech,True
42,161,1990-06-15,Christina Edwards,2023235,Male,BTech,False
43,563,1991-12-04,Joseph Alvarado Jr.,2020630,Female,BTech,False
44,797,1995-11-01,Kristen Gonzalez,2019883,Male,Mtech,True
45,74,1989-07-26,Miguel Scott,2019467,Male,PhD,False
46,644,1986-08-01,Grace Green,2023518,Female,BTech,False
47,709,1988-12-22,Monica Brewer,2021541,Female,PhD,False
48,46,1982-08-21,Amy Miller,2019192,Male,PhD,False
49,224,1973-01-12,Christina White,2020246,Male,BTech,False
50,533,1986-09-12,Lauren Mayer,2020150,Female,PhD,False
51,993,2020-06-07,Aaron Weeks,2021651,Male,Mtech,False
52,290,2004-07-29,John Henry,2024494,Male,BTech,True
53,583,1989-05-30,Michael Martinez,2024786,Male,Mtech,False
54,412,2018-11-04,Nathan Smith,2024709,Male,Mtech,False
55,803,1996-05-22,Jessica Mercer,2023255,Male,BTech,True
56,999,1991-07-16,Julian White,2019914,Male,BTech,True
57,828,1971-10-20,Miguel Scott,2019467,Female,PhD,True
58,98,1997-07-20,Joseph Alvarado Jr.,2020630,Female,BTech,True
59,150,1972-12-27,Andrew Peterson,2020417,Male,PhD,False
60,190,2005-03-09,Michael Martinez,2024786,Female,Mtech,False
61,26,2005-07-13,Richard Ferguson,2020783,Male,PhD,False
