Sale ID,Sale Date,Coupon Type,Name,Phone Number,Roll NO,Paytm,Cash,Total Amount
1,2021-10-09 16:22:51,30 days,Daniel Diaz,(372)714-6166,975042,137,176,2291
2,1998-03-17 01:53:26,30 days,Amy Deleon,+1-559-351-6209,40813,417,244,193
3,2021-08-14 03:39:53,7 days,Lee Charles,001-419-777-5949x955,178594,318,995,9839
4,2003-01-13 20:19:52,30 days,Tim Lopez,(203)735-8660,893549,745,482,1840
5,2020-01-10 06:33:02,30 days,Charles Davis,(325)617-3049x10199,499003,691,926,7208
6,2014-06-24 05:17:20,7 days,Justin Perez,384-727-7317x2133,515475,380,637,2542
7,1995-08-17 23:47:42,30 days,Mariah Franklin,871-806-0855x522,182966,310,114,865
8,2011-11-14 17:33:54,7 days,Randall Thompson,423-765-5390,81498,969,652,1563
9,2005-06-18 09:39:53,30 days,Michael Taylor,(382)872-9316,288017,491,275,1714
10,2009-11-03 14:30:11,30 days,Keith Chan,995.660.7567,846434,253,256,6668
11,1997-10-17 22:27:34,7 days,Tina Munoz,810-461-8413x39577,732537,594,398,5829
12,1984-10-13 20:30:30,30 days,Christy Chandler,(661)896-3886x19714,236232,982,898,1624
13,1970-08-21 14:58:11,7 days,Stacy Delgado,(702)703-4577x16922,399353,243,647,265
14,1981-07-15 22:38:08,7 days,Teresa George,(942)860-2202x6306,800344,851,899,4884
15,2008-12-25 06:06:48,7 days,Jasmine Welch,+1-912-273-4838x80359,568186,616,211,3412
16,1983-05-12 08:08:53,30 days,Cameron Leonard,977.270.2665x7792,710308,921,9,5577
17,1998-11-20 18:01:11,30 days,Brandon Farley,902-509-4850x72881,997786,17,349,8356
18,1996-08-17 10:45:45,7 days,Lawrence Reynolds,585-584-8980,334637,480,521,1977
19,1998-06-21 20:18:28,7 days,David Fisher,4013910725,761231,569,333,1430
20,2019-08-08 18:48:22,7 days,Joshua Lopez,5895535956,131880,314,619,1043
21,2005-08-13 04:11:17,7 days,Jeremiah Dalton,+1-251-639-4253,258432,300,390,6950
22,1991-10-09 04:43:38,30 days,Gregory Butler,001-233-966-9216x57314,194801,747,969,3452
23,1987-01-15 04:55:15,7 days,Daniel Burgess,7299878621,345870,386,279,6614
24,2008-05-16 08:16:30,7 days,Michelle Gray,2267865962,418821,833,468,5813
25,1992-12-24 12:35:09,30 days,Nathan Jones,(719)775-5612x0492,17262,176,363,3104
26,1981-10-24 18:22:41,7 days,Mario Hoover,619-857-2100,733231,438,287,2785
27,1992-07-28 04:30:23,30 days,Richard Clark DDS,812.254.4312x300,778329,19,936,1188
28,1997-11-17 14:33:58,7 days,Keith Taylor,974-702-3550,488464,245,449,9492
29,2000-10-30 02:47:31,7 days,Clinton Hall,415.502.2071,861963,16,776,6369
30,1973-09-14 18:39:05,7 days,Ellen Vincent,912.523.0338,126384,137,614,5012
31,2010-05-09 09:29:44,7 days,Mary Payne,+1-544-732-4099x623,841180,65,433,4143
32,1995-09-29 03:59:03,30 days,Sergio Stewart,706-546-5927,363716,706,178,205
33,1991-10-02 12:28:06,7 days,Charles George,(600)454-1084,638689,44,758,2159
34,1983-09-16 23:19:05,7 days,Troy Kim,(334)748-7777x861,297544,307,739,7815
35,1977-06-05 14:09:23,30 days,Michael Adams,(489)839-2544,384977,151,411,1439
36,1983-07-13 06:42:36,7 days,Daniel Morales,210.574.7136,451560,453,911,611
37,1993-03-21 22:55:01,7 days,Susan Gonzalez,684.414.3092,212285,35,220,2188
38,1998-09-18 14:39:53,7 days,Andrew Jones,4408577068,430580,780,325,563
39,1977-11-27 07:28:10,7 days,Breanna Guzman,+1-484-320-1295x5515,220395,753,151,8836
40,1990-09-14 20:37:27,7 days,Miguel Stafford,770-771-5064,279966,478,804,9229
41,1997-10-24 06:00:31,7 days,Pamela Reed,376-970-1269,210461,647,56,4644
42,2013-07-15 08:30:38,7 days,Christina Mcdonald,+1-724-833-5492,360024,927,741,1471
